name,schedulable,makespan,CALAPCalculationTime,schedulerTime
NXT Motion_11_5_235,False,1762.118544379021,0.52400803565979,1.096940279006958
NXT Motion_11_5_240,False,1750.920090757035,0.5058937072753906,1.0534775257110596
NXT Motion_11_5_245,False,1788.3385965783423,0.5070598125457764,1.1429946422576904
NXT Motion_11_5_250,False,1771.492494180648,0.4918205738067627,1.2557563781738281
NXT Motion_12_2_200,True,5439.14266358993,0.5403335094451904,3.3833839893341064
NXT Motion_12_2_205,True,5765.316055992271,0.5096185207366943,3.5026235580444336
NXT Motion_12_2_210,True,6118.262516715354,0.42946434020996094,3.3682525157928467
NXT Motion_12_2_215,True,5977.787035585346,0.5087013244628906,3.830761671066284
NXT Motion_12_2_220,True,6265.183040678375,0.43346333503723145,3.491013288497925
NXT Motion_12_2_225,True,5537.619718922623,0.516575813293457,3.6113767623901367
NXT Motion_12_2_230,True,5744.431867553595,0.5038909912109375,3.4823811054229736
NXT Motion_12_2_235,True,5827.972769572189,0.5273439884185791,3.47188663482666
NXT Motion_12_2_240,True,5988.516497335833,0.5271756649017334,3.520023822784424
NXT Motion_12_2_245,True,6383.34031399569,0.5256824493408203,3.52506160736084
NXT Motion_12_2_250,True,6233.891080515035,0.5093746185302734,3.4818332195281982
NXT Motion_12_3_200,True,4469.673924999703,0.5473029613494873,3.089712619781494
NXT Motion_12_3_205,True,4744.897213520604,0.5575175285339355,3.248591184616089
NXT Motion_12_3_210,True,4762.852385537879,0.4986438751220703,3.1829490661621094
NXT Motion_12_3_215,True,4613.764393412685,0.503206729888916,3.302280902862549
NXT Motion_12_3_220,False,2999.980447348163,0.43320703506469727,1.6458368301391602
NXT Motion_12_3_225,False,2994.2969734172416,0.5113506317138672,1.5775089263916016
NXT Motion_12_3_230,False,2997.0384935487614,0.5233199596405029,1.3862695693969727
NXT Motion_12_3_235,False,2998.4903136135727,0.5065670013427734,1.5747826099395752
NXT Motion_12_3_240,False,2987.4146175520154,0.4978022575378418,1.7261736392974854
NXT Motion_12_3_245,False,2996.411344791764,0.49195027351379395,1.5140447616577148
NXT Motion_12_3_250,False,2987.9300108024922,0.5100984573364258,1.6799311637878418
NXT Motion_12_4_200,False,2245.206782014673,0.5212240219116211,1.4067716598510742
NXT Motion_12_4_205,False,2236.3675685015023,0.5309019088745117,1.4545748233795166
NXT Motion_12_4_210,False,2231.1310522952867,0.505385160446167,1.5609984397888184
NXT Motion_12_4_215,False,2248.03575695291,0.5618386268615723,1.4271295070648193
NXT Motion_12_4_220,False,2246.607285017471,0.508636474609375,1.324434757232666
NXT Motion_12_4_225,False,2239.4701489972417,0.41888952255249023,1.4256160259246826
NXT Motion_12_4_230,False,2239.26677727159,0.5211136341094971,1.3677990436553955
NXT Motion_12_4_235,False,2245.0742064919827,0.5016598701477051,1.315110683441162
NXT Motion_12_4_240,False,2248.586521634176,0.5805039405822754,1.197580099105835
NXT Motion_12_4_245,False,2243.9823584414535,0.5017275810241699,1.38206148147583
NXT Motion_12_4_250,False,2244.0058871941437,0.43201518058776855,1.4853310585021973
